iter	Logloss
0	0.6849739103
1	0.6772534403
2	0.6693635126
3	0.6617932326
4	0.6540847364
5	0.6477205788
6	0.6406359205
7	0.6341947576
8	0.6276940036
9	0.621075735
10	0.6147910534
11	0.6093352286
12	0.603556709
13	0.5976409163
14	0.5923970104
15	0.5871066767
16	0.5815539809
17	0.5768345075
18	0.5720477903
19	0.5670141174
20	0.5622664917
21	0.5575977482
22	0.5531516447
23	0.5487171032
24	0.5443155037
25	0.5399700418
26	0.5356605728
27	0.5317140935
28	0.5290917321
29	0.5260523834
30	0.5222837669
31	0.5185545927
32	0.5150212717
33	0.5114774347
34	0.508107199
35	0.504823658
36	0.5017646372
37	0.498476753
38	0.4954578989
39	0.4926043785
40	0.4897590692
41	0.4868181313
42	0.4838563957
43	0.4813882734
44	0.478788665
45	0.4763096656
46	0.4740643063
47	0.4714203917
48	0.4689832067
49	0.4665169941
