iter	Passed	Remaining
0	42	2069
1	87	2110
2	135	2116
3	143	1649
4	190	1714
5	235	1727
6	280	1723
7	324	1703
8	366	1671
9	409	1639
10	453	1608
11	496	1572
12	540	1537
13	585	1504
14	630	1471
15	677	1440
16	724	1406
17	768	1366
18	811	1323
19	857	1286
20	903	1247
21	947	1205
22	992	1165
23	1037	1124
24	1084	1084
25	1128	1042
26	1172	999
27	1217	956
28	1219	882
29	1222	814
30	1268	777
31	1315	739
32	1361	701
33	1406	661
34	1453	622
35	1496	582
36	1542	541
37	1588	501
38	1632	460
39	1680	420
40	1738	381
41	1797	342
42	1845	300
43	1890	257
44	1935	215
45	1979	172
46	2024	129
47	2067	86
48	2112	43
49	2158	0
